scenario_id;data_type;split;monthly_loan_dkk;study_months;initial_debt_dkk;target_debt_dkk
125;synthetic;train;358;62;74679;116484.49
126;synthetic;train;1443;23;530;35121.75
127;synthetic;train;3559;80;24097;358209.49
128;synthetic;train;121;11;6764;8374.1
129;synthetic;train;3158;75;15328;289148.63
130;synthetic;test;2837;16;36721;85428.99
131;synthetic;test;2277;61;87457;261396.11
132;synthetic;test;170;17;28051;32661.92
133;synthetic;train;1179;84;77741;217266.95
134;synthetic;test;1217;82;49931;180525.05
135;synthetic;train;1902;37;14389;91289.04
136;synthetic;train;3550;2;17428;24679.92
137;synthetic;train;872;24;13182;36100.71
138;synthetic;train;68;57;96931;121451.85
139;synthetic;test;462;25;50633;67089.7
140;synthetic;test;3524;59;76619;323354.34
141;synthetic;train;2208;36;19977;107105.45
142;synthetic;train;3284;68;2510;254161.94
143;synthetic;train;2718;8;73899;97965.5
144;synthetic;test;3138;12;43384;83633.44
145;synthetic;train;470;48;92757;133324.82
146;synthetic;train;307;34;97313;120040.33
147;synthetic;train;1143;12;48858;64865.4
148;synthetic;train;1931;56;31374;156866.97
149;synthetic;train;3631;44;28644;205500.11
150;synthetic;train;3649;78;49916;390226.67
151;synthetic;train;94;51;55520;71023.05
152;synthetic;train;563;54;84080;133992.25
153;synthetic;train;402;61;14034;44426.15
154;synthetic;test;2845;36;651;109722.52
155;synthetic;train;3671;14;59604;115144.2
156;synthetic;train;689;79;73833;158393.83
157;synthetic;train;3056;37;46738;173390.31
158;synthetic;train;2410;66;84698;283677.47
159;synthetic;train;67;56;10914;17280.96
160;synthetic;train;1094;70;25051;118000.14
161;synthetic;train;3027;39;23264;152753.99
162;synthetic;train;1270;45;76515;150629.17
163;synthetic;train;2302;79;86774;321215.32
164;synthetic;train;2862;51;28985;193690.84
165;synthetic;test;1567;10;37418;54644.31
166;synthetic;train;3520;36;11372;147666.44
167;synthetic;test;2477;81;86749;344251.07
168;synthetic;train;1041;39;53102;103884.48
169;synthetic;train;941;23;23666;48078.76
170;synthetic;train;3779;63;84086;369012.74
171;synthetic;train;3102;81;10527;302649.17
172;synthetic;train;3350;6;47542;68836.59
173;synthetic;train;2258;31;14617;90064.15
174;synthetic;train;730;70;31872;97870.32
175;synthetic;train;1179;78;14387;123826.21
176;synthetic;train;3478;78;59856;387858.1
177;synthetic;train;629;14;28472;38859.21
178;synthetic;train;2194;13;45566;76776.96
179;synthetic;train;438;46;2114;24271.85
180;synthetic;train;2694;5;19482;33414.17
181;synthetic;train;663;70;5338;59086.07
182;synthetic;train;1631;50;51600;149816.04
183;synthetic;train;2586;68;39363;247021.28
184;synthetic;train;3147;27;98443;196748.88
185;synthetic;train;1917;62;87501;239775.36
186;synthetic;train;3012;72;53651;313634.45
187;synthetic;train;165;42;18150;28322.64
188;synthetic;train;3378;20;22807;94351.85
189;synthetic;train;947;54;57123;124482.24
190;synthetic;train;3605;35;28228;165754.45
191;synthetic;test;187;1;37361;37673.16
192;synthetic;train;3518;44;89355;270421.03
193;synthetic;train;386;8;83346;88729.35
194;synthetic;train;405;5;40409;43132.34
195;synthetic;train;3514;58;9911;237205.3
196;synthetic;train;3181;71;80070;356598.23
197;synthetic;train;3430;21;97958;179779.25
198;synthetic;train;1218;68;57937;165748.05
199;synthetic;train;2962;53;64248;248607.27
200;synthetic;train;2341;66;73905;265132.17
201;synthetic;test;511;70;53607;108015.3
202;synthetic;train;1227;44;96699;170184.54
203;synthetic;train;3258;71;46280;319979.66
204;synthetic;train;2979;33;68617;180662.69
205;synthetic;train;2430;21;26646;81518.06
206;synthetic;train;232;12;43362;47973.68
207;synthetic;train;1815;14;41689;69731.73
208;synthetic;test;2295;20;33824;83692.71
209;synthetic;train;1396;43;36639;106918.17
210;synthetic;train;2800;28;43390;129932.85
211;synthetic;train;1441;16;68575;96045.46
212;synthetic;train;894;25;79275;109497.2
213;synthetic;train;3605;57;91635;337417.8
214;synthetic;train;3245;41;77029;231075.37
215;synthetic;train;1247;39;53544;112980.67
216;synthetic;train;3649;72;48925;359540.12
217;synthetic;train;2479;17;80439;128550.85
218;synthetic;test;2101;45;76629;191168.84
219;synthetic;test;2405;7;28815;46555.08
220;synthetic;test;671;62;3514;50600.89
221;synthetic;train;769;51;69480;125146.47
222;synthetic;train;1912;73;91894;275415.74
223;synthetic;train;501;81;61438;127099.71
224;synthetic;train;2417;8;62187;83493.1
225;synthetic;train;2757;49;8449;156920.8
226;synthetic;train;1988;79;72342;274024.27
227;synthetic;test;522;81;95888;174163.34
228;synthetic;train;643;68;40672;100148.33
229;synthetic;test;2255;38;78263;180308.64
230;synthetic;test;3787;67;93138;401114.36
231;synthetic;train;3594;8;25338;55208.27
232;synthetic;test;2743;50;5014;155390.37
233;synthetic;train;361;44;61617;88467.37
234;synthetic;test;637;15;12934;23409.81
235;synthetic;train;2146;1;57243;59586.96
236;synthetic;train;1808;40;67928;155082.36
237;synthetic;train;1986;62;76393;230881.2
238;synthetic;train;3496;68;51771;332136.57
239;synthetic;train;1870;20;59959;102822.49
240;synthetic;train;528;79;84505;157703.08
241;synthetic;train;454;67;11710;48767.33
242;synthetic;test;2740;8;48819;72387.5
243;synthetic;train;2499;62;41861;223819.99
244;synthetic;test;3502;66;20826;284850.82
245;synthetic;train;2550;62;33364;216893.52
246;synthetic;train;2805;76;81712;348191.88
247;synthetic;test;2897;54;27053;204039.17
248;synthetic;train;3021;31;53220;157819.76
249;synthetic;train;1194;27;15761;51029.52
250;synthetic;train;3652;13;8625;57604.99
251;synthetic;test;3557;47;43790;232466.98
252;synthetic;train;2802;33;12792;112173.76
253;synthetic;train;2772;15;55299;100835.64
254;synthetic;train;3606;79;36078;373297.76
255;synthetic;test;2965;52;47937;225597.47
256;synthetic;train;531;32;65192;90476.95
257;synthetic;train;3749;1;71776;75776.75
258;synthetic;train;3216;80;42380;350577.32
259;synthetic;test;450;23;85054;102593.88
260;synthetic;train;3336;54;12274;212363.52
261;synthetic;train;463;41;58826;87798.34
262;synthetic;train;123;58;54451;73925.58
263;synthetic;train;46;9;45432;47234.23
264;synthetic;train;2745;70;43130;271177.86
265;synthetic;train;1122;82;45855;166198.83
266;synthetic;test;1198;38;1209;49980.42
267;synthetic;train;1147;44;91845;160768.06
268;synthetic;train;2805;66;54490;275252.86
269;synthetic;train;420;33;99704;125951.12
270;synthetic;train;167;74;68450;101599.05
271;synthetic;train;1078;66;83690;183944.65
272;synthetic;test;164;9;66575;70099.9
273;synthetic;test;3796;3;66569;78701.01
274;synthetic;train;518;55;62332;106167.26
275;synthetic;train;343;58;89704;130781.89
276;synthetic;test;3281;3;24591;34746.5
277;synthetic;train;915;39;14302;54451.61
278;synthetic;train;3246;66;80835;340672.74
279;synthetic;test;753;2;91064;93185.65
280;synthetic;train;1097;56;90944;177215.31
281;synthetic;train;137;1;542;681.26
282;synthetic;train;594;5;81998;86373.61
283;synthetic;train;2302;83;80148;326070.75
284;synthetic;train;3660;21;28780;110605.03
285;synthetic;train;3227;21;5723;76445.15
286;synthetic;train;2542;68;96820;315705.71
287;synthetic;train;3525;11;77211;119648.91
288;synthetic;train;3215;59;81980;309700.94
289;synthetic;train;3184;38;4015;133745.93
290;synthetic;train;1733;17;11373;42395.69
291;synthetic;train;474;59;50453;92349.98
292;synthetic;test;2051;63;54827;211610.7
293;synthetic;test;2394;8;85113;106850.86
294;synthetic;train;1705;14;81333;109687.33
295;synthetic;test;2791;5;19304;33723.06
296;synthetic;test;59;23;9998;12205.89
297;synthetic;test;2697;44;98021;241486.14
298;synthetic;train;2847;52;50931;222447.07
299;synthetic;train;207;6;61631;64130.51
300;synthetic;test;16;4;21913;22271.17
301;synthetic;test;3359;39;70958;220906.33
302;synthetic;train;1563;15;37116;63095.77
303;synthetic;train;348;65;18353;48079.77
304;synthetic;train;1430;83;59196;214955.89
305;synthetic;train;1742;46;78408;178112.66
306;synthetic;train;967;54;87270;161749.06
307;synthetic;test;2175;38;14513;104719.22
308;synthetic;test;943;80;54126;157215.42
309;synthetic;train;1145;36;57802;109022.19
310;synthetic;train;2042;59;25749;164675.53
311;synthetic;test;2467;38;94060;206836.95
312;synthetic;test;600;13;46166;56191.48
313;synthetic;train;1931;59;40403;175260.34
314;synthetic;train;3472;40;12933;163569.09
315;synthetic;test;453;82;13409;60395.48
316;synthetic;train;3601;24;9341;100236.34
317;synthetic;train;1157;52;42790;116666.51
318;synthetic;train;2985;52;40078;217391.06
319;synthetic;train;2411;82;41181;281786.54
320;synthetic;test;583;35;84012;116066.59
321;synthetic;test;826;80;58831;152613.5
322;synthetic;train;2285;27;92046;165358.33
323;synthetic;test;137;26;41840;49348.17
324;synthetic;train;1813;40;14792;94595.3
325;synthetic;test;857;9;57246;66829.17
326;synthetic;test;1333;48;58972;138678.89
327;synthetic;train;2667;46;64795;208303.84
328;synthetic;train;2231;55;61665;208926.41
329;synthetic;train;1201;21;78744;110610.41
330;synthetic;train;1302;47;19697;89381.1
331;synthetic;test;1639;45;62601;152410.05
332;synthetic;train;2000;31;96178;172049.31
333;synthetic;train;1948;68;73671;241275.54
334;synthetic;train;2121;75;12826;197449.12
335;synthetic;test;3500;72;50363;349224.91
336;synthetic;train;2786;44;26876;163346.82
337;synthetic;test;3039;21;31445;99932.95
338;synthetic;train;1973;71;38392;206903.37
339;synthetic;train;1877;4;11585;19311.02
340;synthetic;train;212;7;86852;90402.84
341;synthetic;train;3199;70;5556;259593.77
342;synthetic;train;295;24;56530;68612.74
343;synthetic;test;1269;41;17299;75666.16
344;synthetic;train;2776;27;6654;85832.49
345;synthetic;train;2822;76;1468;246328.62
346;synthetic;train;1659;70;70617;220128.81
347;synthetic;train;3254;35;37226;162813.22
348;synthetic;test;2694;13;23942;60850.68
349;synthetic;train;2283;57;11967;157996.77
350;synthetic;train;1931;31;50174;118789.07
351;synthetic;train;3642;7;99547;127729.32
352;synthetic;train;1708;65;42447;176845.39
353;synthetic;train;1181;65;68767;171215.53
354;synthetic;train;547;60;75308;128337.28
355;synthetic;train;1473;78;64089;214485.26
356;synthetic;train;1267;1;67496;68992.21
357;synthetic;train;794;64;52509;121699.62
358;synthetic;train;1773;14;71151;99995.9
359;synthetic;train;630;36;83631;118409.44
360;synthetic;train;3497;84;95802;466176.62
361;synthetic;train;2112;17;83907;125791.19
362;synthetic;train;3046;84;65095;381784.61
363;synthetic;train;538;43;44825;76633.3
364;synthetic;train;3203;33;32859;148580.27
365;synthetic;train;304;71;75533;120051.74
366;synthetic;test;156;37;47972;60410.36
367;synthetic;train;1783;78;15067;178588.85
368;synthetic;test;1164;16;24408;44903.38
369;synthetic;test;3446;80;4464;322213.02
370;synthetic;train;2401;20;19256;70317.93
371;synthetic;train;1109;17;49020;71301.9
372;synthetic;train;3783;50;72325;291557.46
373;synthetic;train;1874;2;8411;12233.92
374;synthetic;train;1021;21;84058;112387.33
375;synthetic;train;3205;72;63759;342207.29
376;synthetic;test;2113;55;40681;176594.02
377;synthetic;train;2546;67;76291;286758.97
378;synthetic;train;2332;5;72495;85488.44
379;synthetic;train;1393;63;53953;164336.38
380;synthetic;train;3348;29;93140;204677.65
381;synthetic;train;3209;28;48257;147297.63
382;synthetic;train;2019;65;68916;232311.64
383;synthetic;test;3237;32;50479;165633.5
384;synthetic;test;1637;77;30498;183315.36
385;synthetic;train;2231;11;85028;113235.5
386;synthetic;train;1460;29;58292;108722.28
387;synthetic;train;1895;72;53141;221958.27
388;synthetic;test;1964;9;2193;20232.9
389;synthetic;train;1514;84;91734;268293.52
390;synthetic;test;2390;53;39150;185459.28
391;synthetic;train;674;1;33885;34674.2
392;synthetic;train;1202;17;25916;48482.45
393;synthetic;train;94;52;92746;115612.83
394;synthetic;test;2625;38;42027;154200.71
395;synthetic;train;1168;12;59848;76609.73
396;synthetic;train;2152;1;41552;43849.68
397;synthetic;train;1056;15;70304;90171.47
398;synthetic;train;1998;54;71348;203784.15
399;synthetic;test;3730;68;62036;362894.17
400;synthetic;train;3340;41;98477;259838.93
401;synthetic;train;2893;55;90333;283373.8
402;synthetic;train;1957;61;28473;167458.39
403;synthetic;train;3660;53;78201;305775.84
404;synthetic;train;1750;73;7417;154301.05
405;synthetic;train;433;43;73242;104559.84
406;synthetic;train;3075;37;64967;194757.15
407;synthetic;train;2101;81;65410;281296.25
408;synthetic;train;1584;82;10725;163676.55
409;synthetic;train;3741;13;28823;79880.31
410;synthetic;train;3121;62;97036;334540.27
411;synthetic;train;2849;54;34649;210286.28
412;synthetic;train;17;11;29778;31079.01
413;synthetic;train;155;43;77735;96871.09
414;synthetic;test;3660;42;87501;265882.32
415;synthetic;test;3745;73;46497;369249.84
416;synthetic;train;1235;83;24191;150143.0
417;synthetic;train;1563;7;79369;92327.41
418;synthetic;train;2469;8;22193;42842.35
419;synthetic;test;2110;46;80206;198530.9
420;synthetic;train;1011;78;44447;147808.2
421;synthetic;train;3125;21;3697;72050.16
422;synthetic;train;209;32;95316;113095.08
423;synthetic;train;185;31;10928;18166.88
424;synthetic;train;3539;57;76269;314693.01
425;synthetic;test;2710;56;77372;260321.07
426;synthetic;train;30;73;73987;96814.85
427;synthetic;train;2809;34;80087;190967.93
428;synthetic;train;1450;5;90782;99627.98
429;synthetic;train;891;9;62190;72234.61
430;synthetic;train;887;73;44375;129992.58
431;synthetic;train;17;80;51463;68721.34
432;synthetic;train;999;57;53061;126949.97
433;synthetic;test;112;64;40135;57663.21
434;synthetic;train;2659;76;61061;308951.83
435;synthetic;test;2552;22;23766;83918.48
436;synthetic;train;1577;72;52419;195125.98
437;synthetic;train;1322;66;85335;204033.02
438;synthetic;test;3429;26;70964;170657.09
439;synthetic;train;2243;38;39694;136053.71
440;synthetic;train;435;24;54967;70423.44
441;synthetic;train;3368;73;18759;302680.88
442;synthetic;train;2581;8;67501;90282.31
443;synthetic;train;1299;38;71764;134144.21
444;synthetic;train;1614;68;53358;190274.77
445;synthetic;train;3795;54;29636;260341.18
446;synthetic;train;2946;35;53417;169552.33
447;synthetic;train;519;11;57487;65454.8
448;synthetic;train;709;84;85568;181992.27
449;synthetic;train;2663;62;59521;256838.5
450;synthetic;train;229;33;49580;63335.8
451;synthetic;train;3478;19;49692;121264.78
452;synthetic;train;1307;12;10301;26748.7
453;synthetic;train;1388;7;6716;16720.68
454;synthetic;test;1333;17;55481;82063.23
455;synthetic;train;67;26;45328;51247.17
456;synthetic;train;3659;54;88072;322222.29
457;synthetic;test;1304;38;42038;100614.07
458;synthetic;train;3372;81;96234;440014.91
459;synthetic;test;2857;43;54086;194701.82
460;synthetic;train;3725;24;34671;130775.61
461;synthetic;train;3408;33;23509;145307.3
462;synthetic;test;2129;28;89088;160369.68
463;synthetic;train;3454;26;52954;151699.5
464;synthetic;train;3739;63;21562;289096.89
465;synthetic;train;2244;53;65344;208229.19
466;synthetic;train;95;26;85462;95769.99
467;synthetic;train;917;26;32249;60108.82
468;synthetic;train;674;14;34701;46031.27
469;synthetic;test;3322;1;28324;31751.49
470;synthetic;train;230;48;25060;41390.92
471;synthetic;train;3009;50;78383;256536.14
472;synthetic;train;2412;37;86097;192507.2
473;synthetic;train;1809;80;99471;295901.8
474;synthetic;train;2238;57;25566;171607.03
475;synthetic;test;3095;57;90256;303687.57
476;synthetic;train;1014;67;47028;135008.55
477;synthetic;train;703;15;56217;69925.01
478;synthetic;train;1213;9;42715;55114.25
479;synthetic;train;2481;27;95535;174721.56
480;synthetic;train;2962;44;93466;248790.63
481;synthetic;train;1645;12;3584;23902.98
482;synthetic;test;3564;81;73925;428683.58
483;synthetic;train;391;25;4107;14673.39
484;synthetic;test;194;21;57214;65582.09
485;synthetic;train;249;83;45512;83833.06
486;synthetic;train;1002;44;79016;139033.97
487;synthetic;train;1187;4;5096;9951.98
488;synthetic;train;3237;10;63556;98676.03
489;synthetic;train;1461;66;6052;115553.02
490;synthetic;train;3411;59;44928;277409.47
491;synthetic;train;786;83;30207;115079.21
492;synthetic;train;1863;34;23055;92993.02
493;synthetic;train;1583;13;166;21238.99
494;synthetic;train;1101;10;41478;54095.4
495;synthetic;test;3278;14;123;47184.9
496;synthetic;train;422;43;27484;51253.15
497;synthetic;test;1860;3;33309;39260.48
498;synthetic;train;1558;37;55116;123785.11
499;synthetic;train;2966;40;84121;223207.69
500;synthetic;train;2012;22;22902;70642.65
501;synthetic;train;1225;51;24248;96936.17
502;synthetic;train;3473;41;86328;251766.2
503;synthetic;train;2596;29;22825;104305.52
504;synthetic;train;2826;28;24687;110167.63
505;synthetic;train;3535;41;4856;161112.29
506;synthetic;train;1880;39;86397;176791.01
507;synthetic;train;2703;17;15045;63275.02
508;synthetic;train;2293;4;31901;41577.16
509;synthetic;train;525;2;91883;93551.83
510;synthetic;train;341;1;93290;93943.1
511;synthetic;train;715;69;3128;59486.43
512;synthetic;train;583;10;70626;78953.79
513;synthetic;train;2356;40;24164;128572.26
514;synthetic;train;337;48;23071;44635.63
515;synthetic;train;2242;58;84944;246700.29
516;synthetic;train;1877;1;28066;30042.81
517;synthetic;test;3242;45;61912;229555.41
518;synthetic;train;1739;14;89671;118911.07
519;synthetic;test;2937;84;85550;398255.28
520;synthetic;test;1106;22;24847;52021.18
521;synthetic;train;3491;47;45446;231039.99
522;synthetic;train;3679;51;90944;312597.6
523;synthetic;test;3741;7;36153;63543.55
524;synthetic;train;2789;69;14848;235368.32
525;synthetic;train;1209;47;79922;155063.02
526;synthetic;train;429;51;29644;59012.22
527;synthetic;train;822;44;41403;86946.53
528;synthetic;train;2415;27;82328;158405.36
529;synthetic;train;296;73;2983;28302.6
530;synthetic;train;2796;30;38333;130714.22
531;synthetic;train;72;59;16548;24839.45
532;synthetic;train;2504;61;84524;273181.1
533;synthetic;train;2690;26;73858;153709.5
534;synthetic;train;3138;27;12417;102380.84
535;synthetic;test;3382;13;59383;107014.05
536;synthetic;train;897;11;77642;90603.35
537;synthetic;train;546;57;69310;118113.15
538;synthetic;train;228;15;79437;87015.52
539;synthetic;train;1927;11;99178;124501.43
540;synthetic;train;1006;1;92417;93734.41
541;synthetic;train;63;47;99309;119332.57
542;synthetic;train;2195;50;38817;165451.79
543;synthetic;train;482;49;89731;131318.58
544;synthetic;train;346;74;41505;82174.77
545;synthetic;train;2037;14;62179;94385.75
546;synthetic;train;692;23;72161;94469.5
547;synthetic;train;191;38;59457;75221.57
548;synthetic;test;501;25;34350;50412.46
549;synthetic;train;2521;83;83625;351624.0
550;synthetic;train;721;2;5191;6674.89
551;synthetic;train;2263;14;23128;56716.63
552;synthetic;train;3220;74;83903;377964.07
553;synthetic;train;963;53;61077;128767.26
554;synthetic;train;703;47;52526;97243.28
555;synthetic;train;1505;64;67762;191370.25
556;synthetic;test;2024;61;76311;230602.04
557;synthetic;train;2154;23;75842;133447.8
558;synthetic;train;2726;83;14978;280768.65
559;synthetic;train;1593;78;51458;208815.67
560;synthetic;train;3581;2;3517;10738.34
561;synthetic;train;3024;31;52023;156590.81
562;synthetic;train;1626;35;93948;166010.33
563;synthetic;train;357;65;88966;136398.73
564;synthetic;train;2498;34;16001;107990.82
565;synthetic;train;2593;40;14937;128188.35
566;synthetic;train;1366;81;26538;161953.26
567;synthetic;train;678;58;19954;67649.75
568;synthetic;train;3495;73;98354;414674.28
569;synthetic;train;3467;21;21214;98286.4
570;synthetic;train;1302;40;88000;156327.23
571;synthetic;train;2787;55;87837;273968.15
572;synthetic;train;2454;32;41300;128940.35
573;synthetic;test;1964;8;74172;92122.69
574;synthetic;test;2480;62;53394;236685.2
575;synthetic;train;2975;80;56993;347520.84
576;synthetic;train;1688;9;77868;95682.9
577;synthetic;train;3435;59;86558;329637.88
578;synthetic;test;3272;68;50288;313155.37
579;synthetic;train;379;1;20439;20887.39
580;synthetic;train;1637;63;45581;171142.2
581;synthetic;train;87;18;97923;105584.36
582;synthetic;train;3754;32;80499;216512.78
583;synthetic;train;2733;79;88757;362803.45
584;synthetic;train;2389;34;62666;156315.71
585;synthetic;test;1212;30;60874;105565.56
586;synthetic;train;2171;49;38467;161015.68
587;synthetic;train;1554;1;60178;61937.77
588;synthetic;train;2187;79;50428;263532.01
589;synthetic;train;1777;6;19674;30857.86
590;synthetic;test;1284;32;36268;83770.95
591;synthetic;test;1497;65;13111;125088.51
592;synthetic;train;1262;14;30779;50363.04
593;synthetic;train;2601;4;33948;44893.9
594;synthetic;train;90;81;72726;103606.78
595;synthetic;train;925;17;9892;26673.0
596;synthetic;train;1796;64;58421;200602.52
597;synthetic;train;3347;29;27811;132699.26
598;synthetic;train;1816;17;97565;135058.43
599;synthetic;train;705;41;52201;90853.29
600;synthetic;train;216;40;45470;61200.71
601;synthetic;test;985;11;4517;15739.52
602;synthetic;train;32;41;8984;11705.39
603;synthetic;train;3645;21;65252;149390.17
604;synthetic;train;2559;42;88362;217160.32
605;synthetic;train;420;20;25243;35680.54
606;synthetic;train;514;25;31269;47403.66
607;synthetic;test;2906;26;87671;174646.73
608;synthetic;train;2936;76;10522;267862.65
609;synthetic;train;3741;52;98237;329527.25
610;synthetic;train;1348;81;58861;202600.08
611;synthetic;train;272;35;13779;25594.48
612;synthetic;train;3576;26;22236;121524.1
613;synthetic;test;2101;36;9697;91418.05
614;synthetic;train;3102;72;74296;347203.29
615;synthetic;train;2343;34;54236;145217.11
616;synthetic;train;1979;14;8181;36979.92
617;synthetic;train;962;39;16031;58380.74
618;synthetic;train;405;72;37500;80657.65
619;synthetic;train;2220;45;73513;193335.87
620;synthetic;train;2811;25;84791;165549.96
621;synthetic;train;1410;71;40485;164388.92
622;synthetic;train;421;64;3016;33810.17
623;synthetic;train;2934;4;20681;32792.25
624;synthetic;train;2292;80;40848;263742.9
625;synthetic;train;458;20;89613;105267.7
626;synthetic;train;2761;9;38490;64927.07
627;synthetic;train;1005;15;84648;104463.93
628;synthetic;train;2347;16;65070;107262.43
629;synthetic;train;1571;6;44986;55429.83
630;synthetic;train;703;21;87900;109579.03
631;synthetic;test;2698;12;85134;121688.6
632;synthetic;train;2182;74;74708;278960.23
633;synthetic;train;1289;45;53085;124338.09
634;synthetic;train;2735;21;33309;95308.52
635;synthetic;train;930;25;16125;41808.79
636;synthetic;train;138;79;7431;22155.46
637;synthetic;train;3374;1;77736;81380.37
638;synthetic;test;1247;44;28222;91858.98
639;synthetic;train;1864;38;52975;135747.21
